pair_ID	data	sentence_A_En	sentence_B_En	entailment_label_En	relatedness_score_En	corr_entailment_labelAB_En	corr_entailment_labelBA_En	sentence_A_Ja	sentence_B_Ja	entailment_label_Ja	relatedness_score_Ja	image_ID	original_caption	semtag_short	semtag_long
3415								その男性はそのギターを弾いていて、そのギターのケースを寄付のために開いた状態にしている	男性はそのギターをギターケースの中に片づけている	contradiction					
2033								小さな木製戸棚の上に座っている白い猫が窓の外を見ている	テーブルの上に座っている猫は窓の外を見ていない	neutral					
2594								猿が武術を練習している	ある人を蹴っている猿は一匹もいない	neutral					
2048								男性は熱狂的にダンスをしている	女性がダンスをしている	neutral					
3949								黒い帽子をかぶった女の子が海辺でビキニを着ている	ビキニを着ていない黒人の女の子が海辺で帽子をかぶっている	neutral					
2559								男性がタマネギの皮をむいている	男性が荒野を通る細道に沿って歩いている	neutral					
3934								男性が後ろに水があるいくつかの岩の上の黄色のカヌーのそばで胸を露わにして立っている	男性が赤いジャケットを着ていて、背後に水があるいくつかの岩の上の黄色のカヌーのそばで立っている	neutral					
4803								高齢の男性がベンチに座っている	若い男性がベンチに座っている	neutral					
3272								一群の競争犬たちが縞模様のユニフォームを着ていて、走路を走っている	縞模様のユニフォームを着ていて走路を走っている競争犬の群れはいない	contradiction					
3557								芝生用の椅子に座っていて本を読んでいる人は一人もいない	二つの椅子に座っている二人の人が読書をしている	neutral					
4164								女性のチアリーダーが男性のチアリーダーの膝の上に跳び乗っている	女性のチアリーダーが男性のチアリーダーの膝の上に座っている	neutral					
1380								その馬は男性に乗られている	男性がオートバイを運転している	neutral					
2882								ある人がピアノを弾いている	ある人がキーボードを弾いていない	neutral					
2417								男性がジャガイモを切っている	男性がトマトを切っている	neutral					
908								幼い子供が緑色のブーツを履いて、泥でいっぱいの水たまりのなかで遊んでいる	泥でいっぱいの水たまりの中にあるいくつかの緑色のブーツが、スカーフを着けた遊び好きの幼い子供に的にされている	neutral					
