pair_ID	data	sentence_A_En	sentence_B_En	entailment_label_En	relatedness_score_En	corr_entailment_labelAB_En	corr_entailment_labelBA_En	sentence_A_Ja	sentence_B_Ja	entailment_label_Ja	relatedness_score_Ja	image_ID	original_caption	semtag_short	semtag_long
1	train	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	neutral	4.5			子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	庭にいる男の子たちのグループが遊んでいて、男性が後ろの方に立っている	neutral	3.7	3155657768_b83a7831e5.jpg	A group of children playing in a yard , a man in the background .		
2	train	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	neutral	3.2			子供たちのグループが家の中で遊んでいて、後ろの方に立っている男性は一人もいない	子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	contradiction	2.3	3155657768_b83a7831e5.jpg	A group of children playing in a yard , a man in the background .	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
3	train	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	entailment	4.7			幼い男の子たちが戸外で遊んでいて、その男性が近くで微笑んでいる	子供たちが戸外で遊んでいて、近くに微笑んでいる男性がいる	entailment	4.3	3155657768_b83a7831e5.jpg	The children are playing outdoors , while a man smiles nearby .	Anaphora	Anaphora;その;連体詞,*,*,*
4	trial	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	contradiction	3.6			幼い男の子たちが戸外で遊んでいて、その男性が近くで微笑んでいる	戸外で遊んでいる男の子は一人もおらず、微笑んでいる男性は一人もいない	contradiction	2.3	3155657768_b83a7831e5.jpg	The children are playing outdoors , while a man smiles nearby .	Negation#Numerical#Anaphora	Anaphora;その;連体詞,*,*,*#Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*#Negation;ぬ;助動詞,*,*,*
5	train	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	neutral	3.4			子供たちが戸外で遊んでいて、近くに微笑んでいる男性がいる	子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	neutral	3.3	3155657768_b83a7831e5.jpg	The children are playing outdoors , while a man smiles nearby .		
6	test	There is no boy playing outdoors and there is no man smiling	A group of kids is playing in a yard and an old man is standing in the background	neutral	3.3			戸外で遊んでいる男の子は一人もおらず、微笑んでいる男性は一人もいない	子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	contradiction	2.3	3155657768_b83a7831e5.jpg	The children are playing outdoors , while a man smiles nearby .	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*#Negation;ぬ;助動詞,*,*,*
7	test	A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoors and the man is smiling nearby	neutral	3.7			庭にいる男の子たちのグループが遊んでいて、男性が後ろの方に立っている	幼い男の子たちが戸外で遊んでいて、その男性が近くで微笑んでいる	neutral	3.3	2036407732_d5a0389bba.jpg	A group of people walking in a scrubland , a mountain in the background .	Anaphora	Anaphora;その;連体詞,*,*,*
8	test	A group of children is playing in the house and there is no man standing in the background	The young boys are playing outdoors and the man is smiling nearby	neutral	3.0			子供たちのグループが家の中で遊んでいて、後ろの方に立っている男性は一人もいない	幼い男の子たちが戸外で遊んでいて、その男性が近くで微笑んでいる	neutral	2.7	3155657768_b83a7831e5.jpg	A group of children playing in a yard , a man in the background .	Anaphora#Negation#Numerical	Anaphora;その;連体詞,*,*,*#Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
9	train	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	neutral	3.7			幼い男の子たちが戸外で遊んでいて、その男性が近くで微笑んでいる	子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	neutral	3.0	3155657768_b83a7831e5.jpg	The children are playing outdoors , while a man smiles nearby .	Anaphora	Anaphora;その;連体詞,*,*,*
10	test	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	entailment	4.9			茶色の犬が、ズボンをはいた背の高い男性の前にいる別の動物に襲いかかっている	茶色の犬が、ズボンをはいた男性の前にいる別の動物に襲いかかっている	entailment	4.7	2067362863_59577f9d4d.jpg	A brown dog is jumping up at another dog in front of the man in jeans .		
