pair_ID	case_particles	rephrase_type	sentence_A_Ja	sentence_B_Ja	sentence_A_Ja_origin	entailment_label_origin	relatedness_score_Ja_origin	entailment_label_Ja	entailment_label_Ja1	entailment_label_Ja2	entailment_label_Ja3	relatedness_score_Ja	relatedness_score_Ja1	relatedness_score_Ja2	relatedness_score_Ja3	naturalness_Ja1	naturalness_Ja2	naturalness_Ja3
5818_de_d	de	d	女性火の近くダンスをしている	火の近くでダンスをしている女性は一人もいない	女性が火の近くでダンスをしている	contradiction	3.7	contradiction	contradiction	contradiction	contradiction	4.0	4.0	4.0	4.0	文Ａが不自然。「女性」の後に「が」「は」が抜けている。	文Aが不自然	文Aが不自然
5998_ni_d	ni	d	金色の毛をした犬水の中いる	茶色の犬が水の中で立っている	金色の毛をした犬が水の中にいる	neutral	3.3	neutral	neutral	neutral	contradiction	3.3	3.0	3.0	4.0	文Ａが不自然。「犬」の後に「が」「は」が抜けている。	文Aが不自然	文Aが不自然
1296_de_c	de	c	男性でフルートが音楽を作っている	男性がフルートを吹いている	男性がフルートで音楽を作っている	neutral	2.5	neutral	neutral	neutral	neutral	2.7	3.0	2.0	3.0	文Ａが不自然。「フルート」が「音楽を作っている」の主語になっている。	文Aが不自然	文Aが不自然
307_de_c	de	c	若いトップレスの女性でペイントが覆われている	裸の女性がボディペイントをした多くの人々の前を歩いている	若いトップレスの女性がペイントで覆われている	neutral	2.3	neutral	neutral	neutral	neutral	2.0	2.0	2.0	2.0	文Ａが不自然。	文Aが不自然	
9929_wo_d	wo	d	猫ミルク皿からなめていない	犬が湖で泳いでいて、太陽がそれに照りつけている	猫はミルクを皿からなめていない	neutral	1	neutral	neutral	neutral	neutral	1.0	1.0	1.0	1.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
7354_ni_c	ni	c	何人かの子供たちに公園にある像がよじ登っている	何人かの子供が像の上で遊んでいる	何人かの子供たちが公園にある像によじ登っている	neutral	3.3	neutral	neutral	neutral	neutral	2.7	3.0	2.0	3.0	文Ａが不自然。	文Aが不自然	文Aが不自然
9484_wo_c	wo	c	黒い犬と黄褐色の犬を喧嘩がしている	黒い犬と白い犬が地面の上で取っ組み合いをしている	黒い犬と黄褐色の犬が喧嘩をしている	neutral	3	neutral	neutral	neutral	neutral	2.7	3.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
6283_de_c	de	c	黒い犬で草地が走っていて、その舌が垂れ下がっている	黒い犬が草地で横たわっている	黒い犬が草地で走っていて、その舌が垂れ下がっている	contradiction	3	contradiction	neutral	contradiction	contradiction	2.3	2.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
4923_de_o	de	o	ナイフである人がニンニクを細かく切っている	ある人がナイフでニンニクを細かく薄切りにしている	ある人がナイフでニンニクを細かく切っている	neutral	4	neutral	neutral	neutral	neutral	4.0	4.0	4.0	4.0	薄切りとは限らないため	文Aが不自然	
7562_ni_c	ni	c	小さい男の子に顔が微笑を浮かべて緑色のトンネルの中で座っている	緑色のシャツを着た幼少の男の子がスライディングチューブに縞模様をつけている	小さい男の子が顔に微笑を浮かべて緑色のトンネルの中で座っている	neutral	1.7	neutral	neutral	neutral	contradiction	1.3	2.0	1.0	1.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
3714_ni_d	ni	d	おもちゃの列車おもちゃの自動車ぶつかり損ねている	おもちゃの列車がおもちゃの自動車に衝突している	おもちゃの列車がおもちゃの自動車にぶつかり損ねている	contradiction	3	contradiction	contradiction	contradiction	contradiction	3.3	4.0	3.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
8851_de_c	de	c	革ひもにつながれた黒い犬で水場の中が歩いている	革ひもにつながれた犬が水場の中で歩いている	革ひもにつながれた黒い犬が水場の中で歩いている	entailment	4.7	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
7832_ni_c	ni	c	茶色の犬に空中がジャンプしている	茶色の犬が水の中に跳び込んでいる	茶色の犬は空中にジャンプしている	neutral	3	neutral	neutral	neutral	contradiction	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
3641_wo_o	wo	o	カエルを女性はいじっている	ある人がカエルをつかんでいる	女性はカエルをいじっている	neutral	2.5	neutral	neutral	neutral	neutral	3.0	3.0	3.0	3.0			
3011_ni_c	ni	c	スーツを着た男性にマイクのところが立っていて、歌っている	男性はみごとなマイクさばきで歌っている	スーツを着た男性がマイクのところに立っていて、歌っている	neutral	3	neutral	neutral	neutral	neutral	2.7	3.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
